1	Food	\N	\N	2025-06-05 17:04:35.176924-05	2025-06-05 17:04:35.176935-05	\N	1	\N
2	Transportation	\N	\N	2025-06-05 17:04:35.176944-05	2025-06-05 17:04:35.176946-05	\N	1	\N
3	Entertainment	\N	\N	2025-06-05 17:04:35.176954-05	2025-06-05 17:04:35.176957-05	\N	1	\N
4	Bills	\N	\N	2025-06-05 17:04:35.176963-05	2025-06-05 17:04:35.176965-05	\N	1	\N
5	Salary	\N	\N	2025-06-05 17:04:35.176973-05	2025-06-05 17:04:35.176975-05	\N	1	\N
6	Shopping	\N	\N	2025-06-05 17:04:35.17698-05	2025-06-05 17:04:35.176981-05	\N	1	\N
7	Healthcare	\N	\N	2025-06-05 17:04:35.176987-05	2025-06-05 17:04:35.176989-05	\N	1	\N
8	Education	\N	\N	2025-06-05 17:04:35.176995-05	2025-06-05 17:04:35.176996-05	\N	1	\N
9	Investments	\N	\N	2025-06-05 17:04:35.177001-05	2025-06-05 17:04:35.177003-05	\N	1	\N
10	Gifts	\N	\N	2025-06-05 17:04:35.177007-05	2025-06-05 17:04:35.177009-05	\N	1	\N
17	Transportation	\N	\N	2025-06-05 17:08:58.624272-05	2025-06-05 17:08:58.624276-05	\N	1	\N
18	Gas	\N	\N	2025-06-05 17:08:58.624638-05	2025-06-05 17:08:58.624642-05	\N	1	17
19	Public Transport	\N	\N	2025-06-05 17:08:58.62491-05	2025-06-05 17:08:58.624913-05	\N	1	17
20	Car Maintenance	\N	\N	2025-06-05 17:08:58.625181-05	2025-06-05 17:08:58.625184-05	\N	1	17
21	Ride Sharing	\N	\N	2025-06-05 17:08:58.625547-05	2025-06-05 17:08:58.625551-05	\N	1	17
22	Parking	\N	\N	2025-06-05 17:08:58.625863-05	2025-06-05 17:08:58.625868-05	\N	1	17
23	Entertainment	\N	\N	2025-06-05 17:08:58.626155-05	2025-06-05 17:08:58.626158-05	\N	1	\N
24	Movies	\N	\N	2025-06-05 17:08:58.626445-05	2025-06-05 17:08:58.626448-05	\N	1	23
25	Concerts	\N	\N	2025-06-05 17:08:58.62669-05	2025-06-05 17:08:58.626693-05	\N	1	23
26	Sports Events	\N	\N	2025-06-05 17:08:58.626957-05	2025-06-05 17:08:58.62696-05	\N	1	23
27	Streaming Services	\N	\N	2025-06-05 17:08:58.627191-05	2025-06-05 17:08:58.627194-05	\N	1	23
28	Games	\N	\N	2025-06-05 17:08:58.627413-05	2025-06-05 17:08:58.627415-05	\N	1	23
29	Bills	\N	\N	2025-06-05 17:08:58.627724-05	2025-06-05 17:08:58.627727-05	\N	1	\N
30	Rent	\N	\N	2025-06-05 17:08:58.628064-05	2025-06-05 17:08:58.628071-05	\N	1	29
32	Internet	\N	\N	2025-06-05 17:08:58.628758-05	2025-06-05 17:08:58.628763-05	\N	1	29
33	Phone	\N	\N	2025-06-05 17:08:58.629495-05	2025-06-05 17:08:58.6295-05	\N	1	29
34	Insurance	\N	\N	2025-06-05 17:08:58.630137-05	2025-06-05 17:08:58.630141-05	\N	1	29
35	Salary	\N	\N	2025-06-05 17:08:58.630394-05	2025-06-05 17:08:58.630397-05	\N	1	\N
36	Monthly Salary	\N	\N	2025-06-05 17:08:58.630647-05	2025-06-05 17:08:58.63065-05	\N	1	35
37	Bonus	\N	\N	2025-06-05 17:08:58.630882-05	2025-06-05 17:08:58.630884-05	\N	1	35
38	Freelance	\N	\N	2025-06-05 17:08:58.631126-05	2025-06-05 17:08:58.631129-05	\N	1	35
40	Side Projects	\N	\N	2025-06-05 17:08:58.631805-05	2025-06-05 17:08:58.631809-05	\N	1	35
41	Shopping	\N	\N	2025-06-05 17:08:58.632062-05	2025-06-05 17:08:58.632065-05	\N	1	\N
42	Clothing	\N	\N	2025-06-05 17:08:58.633167-05	2025-06-05 17:08:58.633169-05	\N	1	41
43	Electronics	\N	\N	2025-06-05 17:08:58.63355-05	2025-06-05 17:08:58.633552-05	\N	1	41
44	Home Goods	\N	\N	2025-06-05 17:08:58.63465-05	2025-06-05 17:08:58.634652-05	\N	1	41
45	Beauty	\N	\N	2025-06-05 17:08:58.634886-05	2025-06-05 17:08:58.634888-05	\N	1	41
46	Books	\N	\N	2025-06-05 17:08:58.63575-05	2025-06-05 17:08:58.63577-05	\N	1	41
47	Healthcare	\N	\N	2025-06-05 17:08:58.636184-05	2025-06-05 17:08:58.63619-05	\N	1	\N
